n: 100 p: 40
FO: 62359.96
HUBS: [26, 33, 5, 4, 49, 45, 31, 46, 48, 30, 6, 35, 24, 53, 44, 50, 29, 51, 3, 36, 10, 13, 52, 68, 64, 34, 25, 12, 62, 27, 22, 2, 47, 28, 15, 67, 72, 66, 73, 43]

OR	H1	H2	DS	CUSTO
0	3	68	71	42056.27
0	4	72	72	41344.91
0	4	73	73	40629.74
0	4	72	74	42666.21
0	4	73	75	42185.57
0	4	52	76	42803.89
0	4	52	77	43751.18
0	4	53	78	46764.81
0	4	36	79	49919.08
0	2	2	80	51835.74
0	2	2	81	50096.60
0	2	2	82	49899.92
0	2	43	83	48547.23
0	2	43	84	44812.35
0	2	43	85	46779.72
0	3	62	86	45444.93
0	3	62	87	45399.89
0	3	66	88	45271.28
0	3	67	89	44839.74
0	3	67	90	45546.93
0	4	72	91	43734.60
0	4	72	92	45369.84
0	3	67	93	47899.67
0	4	72	94	45729.33
0	4	72	95	43905.28
0	4	72	96	47588.81
0	4	73	97	45926.55
0	4	73	98	47436.19
0	4	73	99	48358.51
1	4	4	0	34112.99
1	2	2	2	21099.30
1	3	3	3	20103.79
1	4	4	4	16268.43
1	4	5	5	21304.42
1	4	6	6	19994.24
1	4	4	7	30643.37
1	4	4	8	32221.26
1	4	4	9	25899.11
1	4	10	10	23312.76
1	4	4	11	26910.81
1	4	12	12	25471.69
1	4	13	13	28911.66
1	4	12	14	33369.15
1	4	15	15	32659.81
1	4	12	16	42504.09
1	4	12	17	46216.51
1	4	15	18	49761.25
1	4	12	19	52424.57
1	2	2	20	28767.07
1	2	2	21	29741.34
1	3	22	22	26716.81
1	3	24	23	30133.49
1	3	24	24	28347.63
1	3	25	25	30205.92
1	4	26	26	27281.59
1	4	27	27	26568.56
1	4	28	28	27178.97
1	4	29	29	29096.68
1	4	30	30	29319.80
1	4	31	31	31589.76
1	4	10	32	33066.53
1	4	33	33	31813.08
1	4	34	34	33936.40
1	4	35	35	34147.78
1	4	36	36	36302.49
1	4	33	37	38718.78
1	4	35	38	38996.90
1	4	15	39	47737.33
1	2	2	40	34091.84
1	3	22	41	32788.83
1	3	22	42	32866.00
1	2	43	43	32508.49
1	3	44	44	32219.24
1	3	45	45	32206.29
1	3	46	46	33895.35
1	4	47	47	34752.42
1	4	48	48	33897.28
1	4	49	49	34905.23
1	4	50	50	36194.74
1	4	51	51	36141.24
1	4	52	52	36981.77
1	4	53	53	36097.75
1	4	53	54	37724.63
1	4	53	55	38843.21
1	4	36	56	41359.77
1	4	36	57	44085.83
1	4	36	58	46163.84
1	4	36	59	46518.65
1	2	2	60	40327.98
1	2	43	61	39221.87
1	3	62	62	34994.85
1	3	62	63	37309.84
1	3	64	64	35785.69
1	3	64	65	38322.80
1	3	66	66	38857.96
1	3	67	67	38314.09
1	3	68	68	37720.60
1	3	67	69	41266.12
1	3	68	70	41014.05
1	3	68	71	40112.48
1	3	72	72	39646.83
1	4	73	73	39053.60
1	3	72	74	40968.13
1	4	73	75	40609.42
1	4	52	76	41227.75
1	4	52	77	42175.04
1	4	53	78	45188.67
1	4	36	79	48342.94
1	2	2	80	49823.28
1	2	2	81	48084.14
1	2	2	82	47887.46
1	2	43	83	46534.76
1	2	43	84	42799.89
1	2	43	85	44767.26
1	3	62	86	43501.14
1	3	62	87	43456.10
1	3	66	88	43327.49
1	3	67	89	42895.95
1	3	67	90	43603.13
1	3	72	91	42036.53
1	3	68	92	43595.99
1	3	67	93	45955.88
1	3	72	94	44031.26
1	3	72	95	42207.21
1	3	72	96	45890.74
1	4	73	97	44350.41
1	4	73	98	45860.05
1	4	73	99	46782.37
2	2	2	0	23111.76
2	2	2	1	21099.30
2	2	3	3	3561.65
2	2	4	4	9664.57
2	2	5	5	7605.81
2	2	6	6	9131.76
2	2	4	7	24039.52
2	2	4	8	25617.41
2	2	4	9	19295.26
2	2	10	10	9893.11
2	2	4	11	20306.96
2	2	12	12	15407.24
2	2	13	13	17666.52
2	2	13	14	23213.26
2	2	15	15	20987.13
2	2	15	16	30964.91
2	2	15	17	35458.32
2	2	15	18	38088.57
2	2	13	19	42066.27
2	2	2	20	7667.77
2	2	2	21	8642.04
2	2	22	22	5924.41
2	2	22	23	9816.43
2	2	24	24	9069.56
2	2	25	25	10806.00
2	2	26	26	10136.37
2	2	27	27	10830.88
2	2	28	28	11833.59
2	2	29	29	13009.02
2	2	30	30	13695.21
2	2	31	31	14983.48
2	2	28	32	17966.13
2	2	33	33	16875.81
2	2	34	34	18317.63
2	2	35	35	19051.05
2	2	36	36	21346.60
2	2	35	37	23700.29
2	2	35	38	23900.17
2	2	36	39	33315.87
2	2	2	40	12992.55
2	2	22	41	11996.42
2	2	22	42	12073.60
2	2	43	43	11409.19
2	2	44	44	11863.18
2	2	45	45	12733.96
2	2	46	46	14349.10
2	2	47	47	15898.53
2	2	48	48	16051.32
2	2	49	49	17256.53
2	2	50	50	17998.48
2	2	51	51	18844.89
2	2	52	52	19665.49
2	2	53	53	19847.49
2	2	53	54	21474.36
2	2	53	55	22592.95
2	2	53	56	25408.75
2	2	36	57	29129.94
2	2	36	58	31207.95
2	2	36	59	31562.76
2	2	2	60	19228.68
2	2	43	61	18122.57
2	2	62	62	14336.09
2	2	62	63	16651.07
2	2	64	64	15351.28
2	2	62	65	17818.25
2	2	66	66	18344.41
2	2	67	67	18150.16
2	2	68	68	17908.52
2	2	67	69	21102.18
2	2	67	70	21032.29
2	2	68	71	20300.40
2	2	72	72	19986.59
2	2	73	73	19880.42
2	2	72	74	21307.89
2	2	73	75	21436.24
2	2	50	76	23139.79
2	2	52	77	24858.76
2	2	52	78	28237.67
2	2	53	79	32849.16
2	2	2	80	28723.98
2	2	2	81	26984.84
2	2	2	82	26788.16
2	2	43	83	25435.47
2	2	43	84	21700.59
2	2	43	85	23667.96
2	2	43	86	22535.49
2	2	62	87	22797.33
2	2	66	88	22813.95
2	2	67	89	22732.02
2	2	67	90	23439.20
2	2	68	91	22239.66
2	2	67	92	23447.65
2	2	67	93	25791.94
2	2	72	94	24371.02
2	2	72	95	22546.96
2	2	72	96	26230.49
2	2	72	97	24993.51
2	2	72	98	26642.37
2	2	73	99	27609.18
3	3	3	0	22047.58
3	3	3	1	20103.79
3	3	2	2	3561.65
3	3	4	4	6470.00
3	3	5	5	4144.58
3	3	6	6	5572.21
3	3	4	7	20844.94
3	3	4	8	22422.83
3	3	4	9	16100.68
3	3	10	10	6694.32
3	3	6	11	16747.79
3	3	12	12	11966.96
3	3	13	13	14452.08
3	3	12	14	19864.42
3	3	15	15	17923.27
3	3	15	16	27901.05
3	3	13	17	32250.92
3	3	15	18	35024.71
3	3	13	19	38851.84
3	3	3	20	11068.06
3	3	22	21	10576.84
3	3	22	22	6613.02
3	3	24	23	10029.70
3	3	24	24	8243.84
3	3	25	25	10102.13
3	3	26	26	8103.88
3	3	27	27	8364.61
3	3	28	28	9333.30
3	3	29	29	10838.99
3	3	30	30	11415.12
3	3	31	31	13106.99
3	3	28	32	15465.84
3	3	33	33	14533.65
3	3	34	34	16239.66
3	3	35	35	16830.76
3	3	36	36	19143.27
3	3	33	37	21439.35
3	3	35	38	21679.87
3	3	36	39	31112.54
3	3	2	40	16554.20
3	3	22	41	12685.04
3	3	22	42	12762.21
3	3	43	43	12488.84
3	3	44	44	12115.45
3	3	45	45	12102.50
3	3	46	46	13791.56
3	3	47	47	14937.71
3	3	48	48	14685.80
3	3	49	49	15859.61
3	3	50	50	16839.85
3	3	51	51	17366.29
3	3	52	52	18217.60
3	3	53	53	18025.21
3	3	53	54	19652.08
3	3	53	55	20770.67
3	3	53	56	23586.48
3	3	36	57	26926.61
3	3	36	58	29004.62
3	3	36	59	29359.43
3	3	22	60	21287.71
3	3	43	61	19202.22
3	3	62	62	14891.07
3	3	62	63	17206.05
3	3	64	64	15681.90
3	3	64	65	18219.01
3	3	66	66	18754.17
3	3	67	67	18210.30
3	3	68	68	17616.81
3	3	67	69	21162.33
3	3	68	70	20910.26
3	3	68	71	20008.69
3	3	72	72	19543.04
3	3	73	73	19172.79
3	3	72	74	20864.35
3	3	73	75	20728.62
3	3	50	76	21981.15
3	3	52	77	23410.87
3	3	52	78	26789.77
3	3	53	79	31026.88
3	3	22	80	32156.09
3	3	22	81	29884.80
3	3	22	82	29261.71
3	3	43	83	26515.11
3	3	43	84	22780.24
3	3	43	85	24747.61
3	3	62	86	23397.35
3	3	62	87	23352.31
3	3	66	88	23223.70
3	3	67	89	22792.16
3	3	67	90	23499.34
3	3	72	91	21932.74
3	3	68	92	23492.20
3	3	67	93	25852.09
3	3	72	94	23927.47
3	3	72	95	22103.42
3	3	72	96	25786.95
3	3	73	97	24469.60
3	3	73	98	25979.24
3	3	73	99	26901.56
4	4	4	0	17844.57
4	4	4	1	16268.43
4	4	2	2	9664.57
4	4	3	3	6470.00
4	4	5	5	5035.99
4	4	6	6	3725.81
4	4	4	7	14374.94
4	4	4	8	15952.84
4	4	4	9	9630.68
4	4	10	10	7044.33
4	4	4	11	10642.38
4	4	12	12	9203.27
4	4	13	13	12643.24
4	4	12	14	17100.72
4	4	15	15	16391.38
4	4	12	16	26235.67
4	4	12	17	29948.08
4	4	15	18	33492.83
4	4	12	19	36156.14
4	4	2	20	17332.35
4	4	22	21	16584.31
4	4	22	22	12620.49
4	4	24	23	14619.20
4	4	24	24	12833.34
4	4	25	25	14528.11
4	4	26	26	11013.16
4	4	27	27	10300.14
4	4	28	28	10910.55
4	4	29	29	12828.25
4	4	30	30	13051.37
4	4	31	31	15321.34
4	4	10	32	16798.11
4	4	33	33	15544.66
4	4	34	34	17667.98
4	4	35	35	17879.35
4	4	36	36	20034.07
4	4	33	37	22450.35
4	4	35	38	22728.47
4	4	15	39	31468.91
4	4	2	40	22657.12
4	4	22	41	18692.50
4	4	22	42	18769.68
4	4	43	43	18306.38
4	4	44	44	17309.79
4	4	45	45	16367.61
4	4	46	46	17982.89
4	4	47	47	18483.99
4	4	48	48	17628.86
4	4	49	49	18636.81
4	4	50	50	19926.32
4	4	51	51	19872.82
4	4	52	52	20713.34
4	4	53	53	19829.33
4	4	53	54	21456.20
4	4	53	55	22574.78
4	4	36	56	25091.34
4	4	36	57	27817.40
4	4	36	58	29895.42
4	4	36	59	30250.23
4	4	22	60	27295.18
4	4	43	61	25019.76
4	4	62	62	20188.32
4	4	62	63	22503.31
4	4	64	64	20729.57
4	4	64	65	23266.68
4	4	66	66	23746.76
4	4	67	67	22850.11
4	4	68	68	21870.70
4	4	68	69	25420.56
4	4	68	70	25164.15
4	4	68	71	24262.58
4	4	72	72	23500.34
4	4	73	73	22785.18
4	4	72	74	24821.64
4	4	73	75	24341.00
4	4	52	76	24959.33
4	4	52	77	25906.62
4	4	53	78	28920.24
4	4	36	79	32074.51
4	4	22	80	38163.56
4	4	22	81	35892.27
4	4	22	82	35269.18
4	4	43	83	32332.65
4	4	43	84	28597.78
4	4	43	85	30565.15
4	4	62	86	28694.61
4	4	66	87	28631.35
4	4	66	88	28216.30
4	4	67	89	27431.97
4	4	67	90	28139.15
4	4	72	91	25890.04
4	4	72	92	27525.27
4	4	67	93	30491.89
4	4	72	94	27884.77
4	4	72	95	26060.71
4	4	72	96	29744.25
4	4	73	97	28081.98
4	4	73	98	29591.62
4	4	73	99	30513.94
5	5	4	0	22880.56
5	5	4	1	21304.42
5	5	2	2	7605.81
5	5	3	3	4144.58
5	5	4	4	5035.99
5	5	6	6	1959.32
5	5	4	7	19410.94
5	5	4	8	20988.83
5	5	4	9	14666.67
5	5	10	10	2837.49
5	5	6	11	13134.91
5	5	12	12	7824.57
5	5	13	13	10392.40
5	5	12	14	15722.02
5	5	15	15	13958.15
5	5	15	16	23935.93
5	5	13	17	28191.24
5	5	15	18	31059.59
5	5	12	19	34777.44
5	5	22	20	13616.42
5	5	22	21	12261.79
5	5	22	22	8297.96
5	5	24	23	9634.72
5	5	24	24	7848.86
5	5	25	25	9504.15
5	5	26	26	6046.21
5	5	27	27	5563.48
5	5	28	28	6347.20
5	5	29	29	8178.37
5	5	30	30	8550.61
5	5	31	31	10656.25
5	5	28	32	12479.74
5	5	33	33	11411.14
5	5	34	34	13372.90
5	5	35	35	13773.57
5	5	36	36	16043.55
5	5	33	37	18316.83
5	5	35	38	18622.69
5	5	36	39	28012.82
5	5	2	40	20598.36
5	5	22	41	14369.98
5	5	22	42	14447.15
5	5	43	43	13633.58
5	5	44	44	12385.59
5	5	45	45	11331.70
5	5	46	46	12948.95
5	5	47	47	13516.23
5	5	48	48	12779.76
5	5	49	49	13845.17
5	5	50	50	15065.36
5	5	51	51	15179.63
5	5	52	52	16033.06
5	5	53	53	15400.82
5	5	53	54	17027.69
5	5	53	55	18146.27
5	5	53	56	20962.08
5	5	36	57	23826.89
5	5	36	58	25904.90
5	5	36	59	26259.71
5	5	22	60	22972.66
5	5	43	61	20346.96
5	5	62	62	15263.64
5	5	62	63	17578.63
5	5	64	64	15744.50
5	5	64	65	18281.62
5	5	66	66	18741.22
5	5	67	67	17816.74
5	5	68	68	16840.05
5	5	68	69	20389.91
5	5	68	70	20133.50
5	5	68	71	19231.93
5	5	72	72	18498.50
5	5	73	73	17831.65
5	5	72	74	19819.80
5	5	73	75	19387.47
5	5	50	76	20206.67
5	5	52	77	21226.34
5	5	53	78	24491.73
5	5	36	79	28083.99
5	5	22	80	33841.04
5	5	22	81	31569.75
5	5	43	82	30672.52
5	5	43	83	27659.85
5	5	43	84	23924.97
5	5	62	85	25824.21
5	5	62	86	23769.93
5	5	66	87	23625.81
5	5	66	88	23210.75
5	5	67	89	22398.60
5	5	67	90	23105.78
5	5	72	91	20888.20
5	5	72	92	22523.44
5	5	67	93	25458.52
5	5	72	94	22882.93
5	5	72	95	21058.88
5	5	72	96	24742.41
5	5	73	97	23128.45
5	5	73	98	24638.09
5	5	73	99	25560.41
6	6	4	0	21570.38
6	6	4	1	19994.24
6	6	2	2	9131.76
6	6	3	3	5572.21
6	6	4	4	3725.81
6	6	5	5	1959.32
6	6	6	7	17849.36
6	6	6	8	19455.68
6	6	6	9	12734.02
6	6	10	10	3318.52
6	6	6	11	11175.58
6	6	12	12	6720.76
6	6	13	13	9746.90
6	6	12	14	14618.22
6	6	15	15	13451.56
6	6	13	16	23371.25
6	6	12	17	27465.58
6	6	15	18	30553.00
6	6	12	19	33673.64
6	6	22	20	15575.73
6	6	22	21	14221.10
6	6	22	22	10257.28
6	6	24	23	11401.12
6	6	24	24	9615.26
6	6	25	25	11179.33
6	6	26	26	7416.47
6	6	27	27	6596.52
6	6	28	28	7185.16
6	6	29	29	9104.46
6	6	30	30	9328.14
6	6	31	31	11596.44
6	6	10	32	13072.29
6	6	33	33	11889.45
6	6	34	34	13983.00
6	6	35	35	14240.35
6	6	36	36	16435.82
6	6	33	37	18795.14
6	6	35	38	19089.47
6	6	36	39	28405.09
6	6	2	40	22124.30
6	6	22	41	16329.29
6	6	22	42	16406.47
6	6	43	43	15545.27
6	6	44	44	14188.66
6	6	45	45	12919.17
6	6	46	46	14484.59
6	6	47	47	14848.37
6	6	48	48	13929.68
6	6	49	49	14922.33
6	6	50	50	16227.60
6	6	51	51	16147.58
6	6	52	52	16987.66
6	6	53	53	16123.75
6	6	53	54	17750.63
6	6	53	55	18869.21
6	6	36	56	21493.09
6	6	36	57	24219.16
6	6	36	58	26297.17
6	6	36	59	26651.98
6	6	22	60	24931.97
6	6	43	61	22258.65
6	6	62	62	17057.23
6	6	62	63	19372.22
6	6	64	64	17473.16
6	6	64	65	20010.28
6	6	66	66	20429.48
6	6	67	67	19417.57
6	6	68	68	18341.12
6	6	68	69	21890.98
6	6	68	70	21634.57
6	6	72	71	20710.60
6	6	72	72	19895.44
6	6	73	73	19129.49
6	6	73	74	21206.12
6	6	73	75	20685.31
6	6	52	76	21233.64
6	6	52	77	22180.93
6	6	53	78	25214.67
6	6	36	79	28476.26
6	6	22	80	35800.35
6	6	22	81	33529.06
6	6	43	82	32584.21
6	6	43	83	29571.54
6	6	43	84	25836.67
6	6	62	85	27617.80
6	6	62	86	25563.52
6	6	66	87	25314.07
6	6	66	88	24899.02
6	6	67	89	23999.43
6	6	67	90	24706.61
6	6	72	91	22285.14
6	6	72	92	23920.38
6	6	72	93	26912.89
6	6	72	94	24279.87
6	6	72	95	22455.82
6	6	72	96	26139.35
6	6	73	97	24426.30
6	6	73	98	25935.94
6	6	73	99	26858.26
7	4	4	0	32219.51
7	4	4	1	30643.37
7	4	2	2	24039.52
7	4	3	3	20844.94
7	4	4	4	14374.94
7	4	5	5	19410.94
7	6	6	6	17849.36
7	4	4	8	30327.78
7	4	4	9	24005.63
7	6	10	10	21167.87
7	4	4	11	25017.33
7	12	12	12	18708.04
7	12	13	13	22302.02
7	12	12	14	26605.49
7	12	15	15	25980.14
7	12	12	16	35740.44
7	12	12	17	39452.85
7	12	12	18	43053.86
7	12	12	19	45660.91
7	4	2	20	31707.29
7	4	22	21	30959.25
7	4	22	22	26995.43
7	4	24	23	28994.14
7	4	24	24	27208.28
7	4	25	25	28903.05
7	6	26	26	25265.83
7	6	27	27	24445.88
7	6	28	28	25034.51
7	6	29	29	26953.81
7	12	30	30	26663.43
7	12	31	31	28869.36
7	12	12	32	27295.17
7	12	33	33	27443.62
7	12	34	34	29615.59
7	12	35	35	29351.08
7	12	36	36	31059.68
7	12	13	37	32728.58
7	12	13	38	33330.55
7	12	15	39	41057.66
7	4	2	40	37032.06
7	4	22	41	33067.45
7	4	22	42	33144.62
7	4	43	43	32681.32
7	4	44	44	31684.73
7	4	45	45	30742.55
7	6	46	46	32333.94
7	6	47	47	32697.72
7	12	48	48	31583.22
7	12	49	49	32143.56
7	12	50	50	33633.70
7	12	51	51	32794.02
7	12	52	52	33493.87
7	12	53	53	31876.09
7	12	53	54	33502.97
7	12	53	55	34621.55
7	12	36	56	36116.95
7	12	36	57	38843.01
7	12	36	58	40921.02
7	12	36	59	41275.83
7	4	22	60	41670.12
7	4	43	61	39394.71
7	4	62	62	34563.27
7	4	62	63	36878.25
7	4	64	64	35104.51
7	4	64	65	37641.63
7	4	66	66	38121.71
7	4	67	67	37225.05
7	6	68	68	36190.47
7	6	68	69	39740.34
7	6	68	70	39483.92
7	12	73	71	38487.30
7	6	72	72	37744.80
7	12	73	73	36843.83
7	12	73	74	38920.46
7	12	73	75	38399.65
7	12	52	76	37739.85
7	12	53	77	37991.33
7	12	36	78	40864.29
7	12	36	79	43100.12
7	4	22	80	52538.50
7	4	22	81	50267.21
7	4	22	82	49644.12
7	4	43	83	46707.60
7	4	43	84	42972.72
7	4	43	85	44940.09
7	4	62	86	43069.55
7	4	66	87	43006.30
7	4	66	88	42591.24
7	4	67	89	41806.91
7	4	67	90	42514.09
7	6	72	91	40134.50
7	6	72	92	41769.74
7	6	72	93	44762.24
7	6	72	94	42129.23
7	6	72	95	40305.18
7	6	72	96	43988.71
7	12	73	97	42140.63
7	12	73	98	43650.27
7	12	52	99	43906.31
8	4	4	0	33797.40
8	4	4	1	32221.26
8	4	2	2	25617.41
8	4	3	3	22422.83
8	4	4	4	15952.84
8	4	5	5	20988.83
8	6	6	6	19455.68
8	4	4	7	30327.78
8	4	4	9	25583.52
8	6	10	10	22774.20
8	4	4	11	26595.22
8	12	12	12	20121.65
8	12	13	13	23715.63
8	12	12	14	28019.10
8	12	15	15	27393.74
8	12	12	16	37154.05
8	12	12	17	40866.46
8	12	12	18	44467.47
8	12	12	19	47074.52
8	4	2	20	33285.18
8	4	22	21	32537.15
8	4	22	22	28573.32
8	4	24	23	30572.03
8	4	24	24	28786.17
8	4	25	25	30480.95
8	6	26	26	26872.15
8	6	27	27	26052.20
8	6	28	28	26640.84
8	12	29	29	28460.50
8	12	30	30	28077.04
8	12	31	31	30282.97
8	12	12	32	28708.78
8	12	33	33	28857.23
8	12	34	34	31029.20
8	12	35	35	30764.69
8	12	36	36	32473.28
8	12	13	37	34142.19
8	12	13	38	34744.15
8	12	15	39	42471.27
8	4	2	40	38609.95
8	4	22	41	34645.34
8	4	22	42	34722.51
8	4	43	43	34259.22
8	4	44	44	33262.63
8	4	45	45	32320.44
8	4	46	46	33935.72
8	6	47	47	34304.05
8	12	48	48	32996.83
8	12	49	49	33557.17
8	12	50	50	35047.31
8	12	51	51	34207.63
8	12	52	52	34907.47
8	12	53	53	33289.70
8	12	53	54	34916.58
8	12	53	55	36035.16
8	12	36	56	37530.56
8	12	36	57	40256.62
8	12	36	58	42334.63
8	12	36	59	42689.44
8	4	22	60	43248.02
8	4	43	61	40972.60
8	4	62	62	36141.16
8	4	62	63	38456.14
8	4	64	64	36682.40
8	4	64	65	39219.52
8	4	66	66	39699.60
8	4	67	67	38802.94
8	6	68	68	37796.80
8	6	68	69	41346.66
8	6	68	70	41090.25
8	12	73	71	39900.91
8	6	72	72	39351.13
8	12	73	73	38257.43
8	12	73	74	40334.07
8	12	73	75	39813.26
8	12	52	76	39153.46
8	12	53	77	39404.94
8	12	36	78	42277.90
8	12	36	79	44513.73
8	4	22	80	54116.39
8	4	22	81	51845.11
8	4	22	82	51222.01
8	4	43	83	48285.49
8	4	43	84	44550.61
8	4	43	85	46517.98
8	4	62	86	44647.45
8	4	66	87	44584.19
8	4	66	88	44169.13
8	4	67	89	43384.80
8	4	67	90	44091.98
8	6	72	91	41740.82
8	6	72	92	43376.06
8	6	72	93	46368.57
8	6	72	94	43735.55
8	6	72	95	41911.50
8	6	72	96	45595.03
8	12	73	97	43554.24
8	12	73	98	45063.88
8	12	52	99	45319.92
9	4	4	0	27475.25
9	4	4	1	25899.11
9	4	2	2	19295.26
9	4	3	3	16100.68
9	4	4	4	9630.68
9	4	5	5	14666.67
9	6	6	6	12734.02
9	4	4	7	24005.63
9	4	4	8	25583.52
9	6	10	10	16052.54
9	4	4	11	20273.06
9	12	12	12	14082.75
9	12	13	13	17676.73
9	12	12	14	21980.21
9	12	15	15	21354.85
9	12	12	16	31115.15
9	12	12	17	34827.57
9	12	12	18	38428.57
9	12	12	19	41035.62
9	4	2	20	26963.03
9	4	22	21	26214.99
9	4	22	22	22251.17
9	6	24	23	24135.14
9	6	24	24	22349.28
9	6	25	25	23913.35
9	6	26	26	20150.49
9	6	27	27	19330.54
9	6	28	28	19919.17
9	6	29	29	21838.47
9	12	30	30	22038.15
9	12	31	31	24244.07
9	12	12	32	22669.88
9	12	33	33	22818.33
9	12	34	34	24990.30
9	12	35	35	24725.79
9	12	36	36	26434.39
9	12	13	37	28103.29
9	12	13	38	28705.26
9	12	15	39	36432.37
9	4	2	40	32287.80
9	4	22	41	28323.19
9	4	22	42	28400.36
9	4	43	43	27937.06
9	6	44	44	26922.68
9	6	45	45	25653.19
9	6	46	46	27218.61
9	6	47	47	27582.39
9	6	48	48	26663.70
9	12	49	49	27518.27
9	6	50	50	28961.62
9	12	51	51	28168.73
9	12	52	52	28868.58
9	12	53	53	27250.81
9	12	53	54	28877.68
9	12	53	55	29996.26
9	12	36	56	31491.66
9	12	36	57	34217.72
9	12	36	58	36295.74
9	12	36	59	36650.55
9	4	22	60	36925.86
9	4	43	61	34650.45
9	6	62	62	29791.25
9	6	62	63	32106.24
9	6	64	64	30207.18
9	6	64	65	32744.30
9	6	66	66	33163.50
9	6	67	67	32151.59
9	6	68	68	31075.14
9	6	68	69	34625.00
9	6	68	70	34368.59
9	6	72	71	33444.62
9	6	72	72	32629.46
9	6	73	73	31863.51
9	6	73	74	33940.14
9	6	73	75	33419.33
9	12	52	76	33114.56
9	12	53	77	33366.04
9	12	36	78	36239.01
9	12	36	79	38474.83
9	4	22	80	47794.24
9	4	22	81	45522.95
9	4	22	82	44899.86
9	4	43	83	41963.34
9	4	43	84	38228.46
9	4	43	85	40195.83
9	6	62	86	38297.54
9	6	66	87	38048.09
9	6	66	88	37633.04
9	6	67	89	36733.45
9	6	67	90	37440.63
9	6	72	91	35019.16
9	6	72	92	36654.40
9	6	72	93	39646.91
9	6	72	94	37013.89
9	6	72	95	35189.84
9	6	72	96	38873.37
9	6	73	97	37160.32
9	6	73	98	38669.96
9	12	52	99	39281.02
10	10	4	0	24888.90
10	10	4	1	23312.76
10	10	2	2	9893.11
10	10	3	3	6694.32
10	10	4	4	7044.33
10	10	5	5	2837.49
10	10	6	6	3318.52
10	10	6	7	21167.87
10	10	6	8	22774.20
10	10	6	9	16052.54
10	10	10	11	13295.51
10	10	12	12	5772.14
10	10	13	13	7784.41
10	10	13	14	13331.15
10	10	15	15	11231.69
10	10	15	16	21209.48
10	10	13	17	25583.25
10	10	15	18	28333.14
10	10	13	19	32184.16
10	10	22	20	14288.44
10	10	22	21	12933.81
10	10	22	22	8969.99
10	10	24	23	8962.44
10	10	24	24	7176.58
10	10	25	25	8467.22
10	10	26	26	4398.70
10	10	27	27	3340.03
10	10	28	28	3867.76
10	10	29	29	5790.02
10	10	30	30	6014.50
10	10	31	31	8279.49
10	10	10	32	9753.78
10	10	33	33	8684.02
10	10	34	34	10724.32
10	10	35	35	11047.51
10	10	36	36	13289.71
10	10	33	37	15589.72
10	10	35	38	15896.63
10	10	36	39	25258.98
10	10	22	40	22395.54
10	10	22	41	15042.01
10	10	22	42	15119.18
10	10	43	43	13483.94
10	10	44	44	11711.43
10	10	45	45	10017.25
10	10	46	46	11490.55
10	10	47	47	11658.72
10	10	48	48	10650.82
10	10	49	49	11620.20
10	10	50	50	12946.57
10	10	51	51	12829.90
10	10	52	52	13669.34
10	10	53	53	12832.91
10	10	53	54	14459.79
10	10	53	55	15578.37
10	10	36	56	18346.98
10	10	36	57	21073.04
10	10	36	58	23151.05
10	10	36	59	23505.86
10	10	43	60	23119.12
10	10	43	61	20197.32
