n: 100 p: 40
FO: 51860.03
HUBS: [96, 31, 19, 18, 69, 78, 27, 73, 54, 17, 83, 47, 33, 37, 50, 68, 4, 18, 71, 38, 48, 59, 16, 31, 93, 34, 48, 22, 56, 80, 15, 67, 59, 83, 15, 8, 51, 72, 82, 32]

OR	H1	H2	DS	CUSTO
1	22	22	84	46481.97
1	22	22	85	48526.30
1	22	22	86	47452.41
1	4	67	87	46401.52
1	4	67	88	45178.81
1	4	69	89	43251.67
1	4	69	90	43861.78
1	4	69	91	42133.20
1	4	69	92	43227.43
1	4	93	93	44663.49
1	4	72	94	44153.19
1	4	72	95	42329.14
1	4	96	96	44445.52
1	4	73	97	44350.41
1	4	73	98	45860.05
1	4	73	99	46782.37
2	4	4	0	30730.67
2	4	4	1	29154.52
2	22	22	3	16716.57
2	4	4	4	12886.10
2	22	22	5	18963.16
2	4	4	6	17853.85
2	4	8	7	26457.42
2	4	8	8	24850.72
2	4	4	9	22516.78
2	27	27	10	18894.55
2	4	4	11	23528.48
2	27	27	12	24244.76
2	27	27	13	24905.27
2	27	27	14	30373.95
2	27	15	15	24989.22
2	27	16	16	32303.73
2	27	17	17	35550.26
2	27	18	18	37767.07
2	27	19	19	40555.92
2	22	22	20	13217.66
2	22	22	21	11863.03
2	22	22	22	7899.21
2	22	22	23	11791.23
2	22	22	24	13208.24
2	22	22	25	15004.02
2	27	27	26	16494.05
2	27	27	27	14441.17
2	27	27	28	15778.14
2	27	27	29	17933.43
2	27	27	30	18542.83
2	22	31	31	18363.44
2	27	32	32	20033.07
2	27	33	33	20610.83
2	22	34	34	21774.13
2	22	34	35	23245.26
2	22	34	36	25889.51
2	27	37	37	25638.72
2	27	38	38	25981.38
2	27	38	39	36352.75
2	22	22	40	21324.76
2	22	22	41	13971.23
2	22	22	42	14048.40
2	22	22	43	15738.27
2	22	22	44	15820.00
2	22	22	45	17333.93
2	22	22	46	19359.75
2	22	47	47	18251.76
2	22	48	48	18749.78
2	22	48	49	20357.17
2	22	50	50	20441.97
2	22	51	51	21549.31
2	22	51	52	22692.28
2	22	51	53	24457.03
2	22	54	54	23711.27
2	22	54	55	24939.37
2	22	56	56	27001.66
2	22	56	57	31371.18
2	22	56	58	33112.09
2	22	59	59	32308.59
2	22	22	60	22573.90
2	22	22	61	22165.43
2	22	22	62	19229.18
2	22	22	63	21422.05
2	22	22	64	20503.51
2	22	22	65	22709.07
2	22	67	66	22584.77
2	22	67	67	20125.93
2	22	68	68	19915.63
2	22	69	69	22237.15
2	22	69	70	22540.88
2	22	71	71	21512.12
2	22	72	72	22019.54
2	22	73	73	22010.32
2	22	72	74	23340.85
2	22	73	75	23566.14
2	22	50	76	25583.27
2	22	51	77	27864.21
2	22	78	78	28662.54
2	22	78	79	34373.69
2	22	80	80	27056.51
2	22	82	81	26486.04
2	22	82	82	24885.73
2	22	83	83	23555.56
2	22	22	84	25884.10
2	22	22	85	27928.42
2	22	22	86	26854.53
2	22	22	87	27292.08
2	22	67	88	26186.20
2	22	69	89	24693.47
2	22	69	90	25303.58
2	22	69	91	23575.00
2	22	69	92	24669.24
2	22	93	93	25826.91
2	22	69	94	25833.41
2	22	72	95	24579.92
2	22	96	96	26406.55
2	22	72	97	27026.47
2	22	72	98	28675.32
2	22	73	99	29739.08
3	4	4	0	26471.23
3	4	4	1	24895.09
3	22	22	2	16716.57
3	4	4	4	8626.66
3	4	4	5	15341.32
3	4	4	6	13594.42
3	4	8	7	22197.98
3	4	8	8	20591.29
3	4	4	9	18257.35
3	27	27	10	15606.20
3	4	4	11	19269.05
3	4	4	12	20897.69
3	27	27	13	21616.91
3	27	27	14	27085.59
3	27	15	15	21700.86
3	27	16	16	29015.37
3	27	17	17	32261.90
3	27	18	18	34478.71
3	4	19	19	36970.48
3	22	22	20	14135.81
3	22	22	21	12781.18
3	22	22	22	8817.36
3	22	22	23	12709.38
3	22	22	24	14126.39
3	22	22	25	15922.17
3	27	27	26	13205.69
3	27	27	27	11152.82
3	27	27	28	12489.78
3	27	27	29	14645.08
3	27	27	30	15254.47
3	27	31	31	16246.15
3	27	32	32	16744.71
3	27	33	33	17322.48
3	27	34	34	19088.85
3	27	33	35	20475.13
3	27	34	36	23204.23
3	27	37	37	22350.37
3	27	38	38	22693.02
3	27	38	39	33064.40
3	22	22	40	22242.91
3	22	22	41	14889.38
3	22	22	42	14966.55
3	22	22	43	16656.42
3	22	22	44	16738.15
3	22	22	45	18252.08
3	22	22	46	20277.90
3	22	47	47	19169.91
3	27	48	48	18486.00
3	27	48	49	20093.39
3	27	50	50	20783.94
3	27	51	51	20779.85
3	27	51	52	21922.83
3	27	34	53	22120.49
3	27	54	54	22173.68
3	27	54	55	23401.78
3	27	56	56	25067.52
3	27	56	57	29437.04
3	27	56	58	31177.96
3	27	59	59	29582.61
3	22	22	60	23492.05
3	22	22	61	23083.57
3	22	22	62	20147.33
3	22	22	63	22340.20
3	22	22	64	21421.66
3	22	22	65	23627.22
3	22	67	66	23502.92
3	22	67	67	21044.08
3	22	68	68	20833.78
3	22	69	69	23155.29
3	22	69	70	23459.03
3	22	71	71	22430.27
3	22	72	72	22937.69
3	22	73	73	22928.47
3	22	72	74	24258.99
3	22	73	75	24484.29
3	27	50	76	25925.25
3	27	54	77	26662.65
3	27	78	78	27784.03
3	27	56	79	32545.35
3	22	80	80	27974.66
3	22	82	81	27404.19
3	22	82	82	25803.88
3	22	83	83	24473.71
3	22	22	84	26802.24
3	22	22	85	28846.57
3	22	22	86	27772.68
3	22	22	87	28210.23
3	22	67	88	27104.35
3	22	69	89	25611.62
3	22	69	90	26221.73
3	22	69	91	24493.15
3	22	69	92	25587.38
3	22	93	93	26745.06
3	22	69	94	26751.56
3	22	72	95	25498.07
3	22	96	96	27324.70
3	22	72	97	27944.62
3	22	72	98	29593.47
3	22	73	99	30657.23
4	4	4	0	17844.57
4	4	4	1	16268.43
4	4	4	2	12886.10
4	4	4	3	8626.66
4	4	4	5	6714.66
4	4	4	6	4967.75
4	4	8	7	13571.32
4	4	8	8	11964.63
4	4	4	9	9630.68
4	4	4	10	9392.44
4	4	4	11	10642.38
4	4	4	12	12271.03
4	4	4	13	16857.65
4	4	4	14	19746.95
4	4	15	15	16391.38
4	4	16	16	21688.62
4	4	17	17	24131.88
4	4	18	18	27024.85
4	4	19	19	28343.81
4	4	22	20	17938.94
4	4	22	21	16584.31
4	4	22	22	12620.49
4	4	22	23	16512.51
4	4	27	24	16775.28
4	4	27	25	17822.08
4	4	27	26	12353.01
4	4	27	27	10300.14
4	4	27	28	11637.10
4	4	27	29	13792.40
4	4	27	30	14401.79
4	4	31	31	15321.34
4	4	32	32	13829.45
4	4	33	33	15544.66
4	4	34	34	17667.98
4	4	33	35	18697.31
4	4	33	36	21734.00
4	4	37	37	19604.65
4	4	38	38	20034.38
4	4	38	39	30405.75
4	4	4	40	25877.19
4	4	22	41	18692.50
4	4	22	42	18769.68
4	4	22	43	20459.55
4	4	22	44	20541.28
4	4	27	45	19513.26
4	4	27	46	21333.56
4	4	47	47	18483.99
4	4	48	48	17628.86
4	4	48	49	19236.25
4	4	50	50	19926.32
4	4	51	51	19872.82
4	4	51	52	21015.79
4	4	34	53	20699.62
4	4	54	54	21030.83
4	4	54	55	22258.93
4	4	56	56	23594.60
4	4	56	57	27964.12
4	4	59	58	29648.12
4	4	59	59	27270.74
4	4	22	60	27295.18
4	4	22	61	26886.70
4	4	22	62	23950.45
4	4	22	63	26143.32
4	4	22	64	25224.79
4	4	67	65	26154.99
4	4	67	66	25308.95
4	4	67	67	22850.11
4	4	68	68	21870.70
4	4	69	69	24526.92
4	4	69	70	24830.65
4	4	71	71	22892.88
4	4	72	72	23500.34
4	4	73	73	22785.18
4	4	72	74	24821.64
4	4	73	75	24341.00
4	4	50	76	25067.63
4	4	54	77	25519.80
4	4	78	78	26646.95
4	4	56	79	31072.42
4	4	80	80	30960.76
4	4	82	81	30808.20
4	4	82	82	29207.89
4	4	83	83	28244.32
4	4	22	84	30605.37
4	4	22	85	32649.70
4	4	67	86	31255.67
4	4	67	87	30133.09
4	4	67	88	28910.38
4	4	69	89	26983.25
4	4	69	90	27593.36
4	4	69	91	25864.78
4	4	69	92	26959.01
4	4	93	93	28395.06
4	4	72	94	27884.77
4	4	72	95	26060.71
4	4	96	96	28177.09
4	4	73	97	28081.98
4	4	73	98	29591.62
4	4	73	99	30513.94
5	4	4	0	24559.22
5	4	4	1	22983.08
5	22	22	2	18963.16
5	4	4	3	15341.32
5	4	4	4	6714.66
5	4	4	6	11682.41
5	4	8	7	20285.97
5	4	8	8	18679.28
5	4	4	9	16345.34
5	27	27	10	11871.35
5	4	4	11	17357.04
5	27	27	12	17221.56
5	27	27	13	17882.06
5	27	27	14	23350.74
5	27	15	15	17966.01
5	27	16	16	25280.52
5	27	17	17	28527.05
5	27	18	18	30743.86
5	27	19	19	33532.71
5	22	22	20	16382.40
5	22	22	21	15027.77
5	22	22	22	11063.95
5	22	22	23	14955.97
5	27	27	24	13893.12
5	27	27	25	14939.91
5	27	27	26	9470.84
5	27	27	27	7417.97
5	27	27	28	8754.93
5	27	27	29	10910.23
5	27	27	30	11519.62
5	27	31	31	12511.30
5	27	32	32	13009.87
5	27	33	33	13587.63
5	27	34	34	15354.01
5	27	33	35	16740.29
5	27	34	36	19469.38
5	27	37	37	18615.52
5	27	38	38	18958.17
5	27	38	39	29329.55
5	22	22	40	24489.50
5	22	22	41	17135.97
5	22	22	42	17213.14
5	22	22	43	18903.01
5	22	22	44	18984.74
5	27	27	45	16631.09
5	27	27	46	18451.39
5	27	47	47	15741.04
5	27	48	48	14751.15
5	27	48	49	16358.54
5	27	50	50	17049.09
5	27	51	51	17045.00
5	27	51	52	18187.98
5	27	34	53	18385.65
5	27	54	54	18438.83
5	27	54	55	19666.93
5	27	56	56	21332.68
5	27	56	57	25702.20
5	27	56	58	27443.11
5	27	59	59	25847.76
5	22	22	60	25738.64
5	22	22	61	25330.17
5	22	22	62	22393.92
5	22	22	63	24586.79
5	27	27	64	23102.46
5	27	67	65	23978.73
5	27	67	66	23132.69
5	27	67	67	20673.85
5	27	68	68	19409.44
5	27	69	69	22059.12
5	27	69	70	22362.85
5	27	71	71	20203.88
5	27	72	72	20815.25
5	27	73	73	19979.77
5	27	73	74	22056.40
5	27	73	75	21535.59
5	27	50	76	22190.40
5	27	54	77	22927.80
5	27	78	78	24049.18
5	27	56	79	28810.50
5	22	80	80	30221.25
5	22	82	81	29650.78
5	22	82	82	28050.47
5	22	83	83	26720.30
5	22	22	84	29048.84
5	22	22	85	31093.16
5	27	67	86	29079.40
5	27	67	87	27956.83
5	27	67	88	26734.12
5	27	69	89	24515.45
5	27	69	90	25125.56
5	27	72	91	23204.95
5	27	69	92	24491.21
5	27	93	93	25905.96
5	27	72	94	25199.68
5	27	72	95	23375.62
5	27	96	96	25448.49
5	27	73	97	25276.57
5	27	73	98	26786.21
5	27	73	99	27708.53
6	4	4	0	22812.32
6	4	4	1	21236.18
6	4	4	2	17853.85
6	4	4	3	13594.42
6	4	4	4	4967.75
6	4	4	5	11682.41
6	4	8	7	18539.07
6	4	8	8	16932.38
6	4	4	9	14598.44
6	27	27	10	13248.74
6	4	4	11	15610.14
6	4	4	12	17238.78
6	27	27	13	19259.45
6	15	15	14	23594.36
6	15	15	15	17935.41
6	15	16	16	25418.75
6	15	17	17	28788.81
6	15	18	18	30761.50
6	4	19	19	33311.57
6	22	22	20	18994.82
6	22	22	21	17640.19
6	22	22	22	13676.37
6	27	27	23	16952.80
6	27	27	24	15270.51
6	27	27	25	16317.30
6	27	27	26	10848.23
6	27	27	27	8795.36
6	27	27	28	10132.33
6	27	27	29	12287.62
6	27	27	30	12897.01
6	27	31	31	13888.69
6	32	32	32	13730.35
6	27	33	33	14965.02
6	27	34	34	16731.40
6	27	33	35	18117.68
6	27	34	36	20846.77
6	32	37	37	19641.42
6	32	38	38	20042.04
6	32	38	39	30413.42
6	22	22	40	27101.92
6	22	22	41	19748.39
6	22	22	42	19825.56
6	22	22	43	21515.43
6	27	27	44	20825.08
6	27	27	45	18008.48
6	27	27	46	19828.78
6	27	47	47	17118.43
6	27	48	48	16128.55
6	27	48	49	17735.94
6	27	50	50	18426.48
6	27	51	51	18422.40
6	27	51	52	19565.37
6	27	34	53	19763.04
6	27	54	54	19816.22
6	27	54	55	21044.32
6	27	56	56	22710.07
6	27	56	57	27079.59
6	27	56	58	28820.50
6	27	59	59	27225.15
6	22	22	60	28351.06
6	22	22	61	27942.58
6	27	27	62	24357.19
6	27	27	63	26522.45
6	27	27	64	24479.85
6	27	67	65	25356.12
6	27	67	66	24510.08
6	27	67	67	22051.24
6	27	68	68	20786.83
6	27	69	69	23436.51
6	27	69	70	23740.25
6	27	71	71	21581.27
6	27	72	72	22192.64
6	27	73	73	21357.16
6	27	73	74	23433.79
6	27	73	75	22912.98
6	27	50	76	23567.79
6	27	54	77	24305.19
6	27	78	78	25426.57
6	27	56	79	30187.89
6	22	80	80	32833.67
6	22	82	81	32263.20
6	22	82	82	30662.89
6	22	83	83	29332.72
6	22	22	84	31661.25
6	27	67	85	33360.90
6	27	67	86	30456.80
6	27	67	87	29334.22
6	27	67	88	28111.51
6	27	69	89	25892.84
6	27	69	90	26502.95
6	27	72	91	24582.34
6	27	69	92	25868.60
6	27	93	93	27283.35
6	27	72	94	26577.07
6	27	72	95	24753.02
6	27	96	96	26825.88
6	27	73	97	26653.97
6	27	73	98	28163.61
6	27	73	99	29085.93
7	8	8	0	19678.15
7	8	8	1	19762.69
7	8	4	2	26457.42
7	8	4	3	22197.98
7	8	4	4	13571.32
7	8	4	5	20285.97
7	8	4	6	18539.07
7	8	8	8	1606.69
7	8	8	9	8356.71
7	8	4	10	22963.76
7	8	8	11	13072.67
7	8	8	12	21728.34
7	8	8	13	25901.74
7	8	8	14	24875.66
7	8	15	15	22744.25
7	8	16	16	24289.56
7	8	17	17	25213.04
7	8	18	18	28281.01
7	8	19	19	27660.05
7	8	22	20	31458.42
7	8	22	21	30103.79
7	8	22	22	26139.97
7	8	22	23	30031.99
7	8	27	24	28573.30
7	8	27	25	29620.10
7	8	27	26	24151.03
7	8	27	27	22098.16
7	8	27	28	23435.12
7	8	27	29	25590.41
7	8	27	30	26199.81
7	8	31	31	26369.16
7	8	32	32	23125.83
7	8	33	33	25386.69
7	8	34	34	27582.85
7	8	33	35	28539.34
7	8	37	36	30769.86
7	8	37	37	27612.62
7	8	38	38	28060.81
7	8	15	39	37821.78
7	8	4	40	39448.51
7	8	22	41	32211.99
7	8	22	42	32289.16
7	8	22	43	33979.03
7	8	22	44	34060.76
7	8	27	45	31311.28
7	8	27	46	33131.57
7	8	47	47	30315.88
7	8	48	48	29024.47
7	8	48	49	30631.86
7	8	50	50	31232.45
7	8	51	51	30624.18
7	8	51	52	31767.16
7	8	34	53	30614.49
7	8	54	54	31052.58
7	8	54	55	32280.67
7	8	56	56	32764.19
7	8	38	57	36067.44
7	8	59	58	37148.94
7	8	59	59	34771.55
7	8	22	60	40814.66
7	8	22	61	40406.19
7	8	22	62	37469.94
7	8	22	63	39662.81
7	8	27	64	37782.64
7	8	67	65	38644.43
7	8	67	66	37798.39
7	8	67	67	35339.55
7	8	68	68	34082.15
7	8	69	69	36721.78
7	8	69	70	37025.52
7	8	71	71	34764.36
7	8	72	72	35372.18
7	8	73	73	34376.35
7	8	73	74	36452.98
7	8	73	75	35932.17
7	8	51	76	35843.99
7	8	54	77	35541.55
7	8	78	78	36283.45
7	8	59	79	39859.37
7	8	80	80	44433.78
7	8	82	81	44363.73
7	8	82	82	42763.41
7	8	83	83	41791.04
7	8	22	84	44124.86
7	8	22	85	46169.18
7	8	67	86	43745.11
7	8	67	87	42622.54
7	8	67	88	41399.82
7	8	69	89	39178.11
7	8	69	90	39788.22
7	8	72	91	37761.87
7	8	69	92	39153.87
7	8	93	93	40547.14
7	8	72	94	39756.61
7	8	72	95	37932.55
7	8	96	96	39900.41
7	8	73	97	39673.16
7	8	73	98	41182.80
7	8	51	99	42040.32
8	8	8	0	18071.46
8	8	8	1	18156.00
8	8	4	2	24850.72
8	8	4	3	20591.29
8	8	4	4	11964.63
8	8	4	5	18679.28
8	8	4	6	16932.38
8	8	8	7	1606.69
8	8	8	9	6750.02
8	8	4	10	21357.07
8	8	8	11	11465.98
8	8	8	12	20121.65
8	8	8	13	24295.05
8	8	8	14	23268.97
8	8	15	15	21137.56
8	8	16	16	22682.87
8	8	17	17	23606.35
8	8	18	18	26674.32
8	8	19	19	26053.35
8	8	22	20	29851.73
8	8	22	21	28497.10
8	8	22	22	24533.28
8	8	22	23	28425.30
8	8	27	24	26966.61
8	8	27	25	28013.41
8	8	27	26	22544.34
8	8	27	27	20491.46
8	8	27	28	21828.43
8	8	27	29	23983.72
8	8	27	30	24593.12
8	8	31	31	24762.47
8	8	32	32	21519.14
8	8	33	33	23780.00
8	8	34	34	25976.16
8	8	33	35	26932.65
8	8	37	36	29163.17
8	8	37	37	26005.93
8	8	38	38	26454.11
8	8	15	39	36215.08
8	8	4	40	37841.82
8	8	22	41	30605.30
8	8	22	42	30682.47
8	8	22	43	32372.34
8	8	22	44	32454.07
8	8	27	45	29704.58
8	8	27	46	31524.88
8	8	47	47	28709.19
8	8	48	48	27417.78
8	8	48	49	29025.17
8	8	50	50	29625.76
8	8	51	51	29017.49
8	8	51	52	30160.47
8	8	34	53	29007.80
8	8	54	54	29445.89
8	8	54	55	30673.98
8	8	56	56	31157.50
8	8	38	57	34460.75
8	8	59	58	35542.25
8	8	59	59	33164.86
8	8	22	60	39207.97
8	8	22	61	38799.49
8	8	22	62	35863.25
8	8	22	63	38056.12
8	8	27	64	36175.95
8	8	67	65	37037.74
8	8	67	66	36191.70
8	8	67	67	33732.86
8	8	68	68	32475.45
8	8	69	69	35115.09
8	8	69	70	35418.82
8	8	71	71	33157.67
8	8	72	72	33765.49
8	8	73	73	32769.66
8	8	73	74	34846.29
8	8	73	75	34325.48
8	8	51	76	34237.30
8	8	54	77	33934.86
8	8	78	78	34676.76
8	8	59	79	38252.68
8	8	80	80	42827.09
8	8	82	81	42757.04
8	8	82	82	41156.72
8	8	83	83	40184.35
8	8	22	84	42518.16
8	8	22	85	44562.49
8	8	67	86	42138.42
8	8	67	87	41015.84
8	8	67	88	39793.13
8	8	69	89	37571.42
8	8	69	90	38181.53
8	8	72	91	36155.18
8	8	69	92	37547.18
8	8	93	93	38940.45
8	8	72	94	38149.91
8	8	72	95	36325.86
8	8	96	96	38293.72
8	8	73	97	38066.46
8	8	73	98	39576.10
8	8	51	99	40433.62
9	8	8	0	24821.48
9	8	8	1	24906.02
9	4	4	2	22516.78
9	4	4	3	18257.35
9	4	4	4	9630.68
9	4	4	5	16345.34
9	4	4	6	14598.44
9	8	8	7	8356.71
9	8	8	8	6750.02
9	4	4	10	19023.12
9	8	8	11	18216.00
9	4	4	12	21901.71
9	4	4	13	26488.33
9	15	15	14	28628.67
9	15	15	15	22969.73
9	16	16	16	26847.86
9	17	17	17	28950.93
9	17	18	18	32040.47
9	8	19	19	32803.37
9	4	22	20	27569.62
9	4	22	21	26214.99
9	4	22	22	22251.17
9	4	22	23	26143.19
9	4	27	24	26405.97
9	4	27	25	27452.76
9	4	27	26	21983.69
9	4	27	27	19930.82
9	4	27	28	21267.78
9	4	27	29	23423.08
9	4	27	30	24032.47
9	4	31	31	24952.02
9	32	32	32	22498.54
9	32	33	33	24831.70
9	32	34	34	26966.58
9	32	33	35	27984.36
9	32	32	36	30821.32
9	15	37	37	28239.45
9	15	38	38	28643.45
9	15	15	39	38047.25
9	4	4	40	35507.87
9	4	22	41	28323.19
9	4	22	42	28400.36
9	4	22	43	30090.23
9	4	22	44	30171.96
9	4	27	45	29143.94
9	4	27	46	30964.24
9	4	47	47	28114.67
9	4	48	48	27259.54
9	4	48	49	28866.93
9	4	50	50	29557.00
9	4	51	51	29503.50
9	4	51	52	30646.48
9	32	34	53	29998.21
9	32	54	54	30425.29
9	32	54	55	31653.39
9	32	56	56	32433.07
9	15	38	57	36650.09
9	15	59	58	37376.12
9	15	59	59	34998.74
9	4	22	60	36925.86
9	4	22	61	36517.38
9	4	22	62	33581.14
9	4	22	63	35774.01
9	4	22	64	34855.47
9	4	67	65	35785.67
9	4	67	66	34939.63
9	4	67	67	32480.79
9	4	68	68	31501.38
9	4	69	69	34157.60
9	4	69	70	34461.33
9	4	71	71	32523.57
9	4	72	72	33131.02
9	4	73	73	32415.86
9	4	72	74	34452.32
9	4	73	75	33971.68
9	4	50	76	34698.31
9	32	54	77	34914.26
9	32	78	78	35774.07
9	32	56	79	39910.89
9	4	80	80	40591.44
9	4	82	81	40438.89
9	4	82	82	38838.57
9	4	83	83	37875.00
9	4	22	84	40236.05
9	4	22	85	42280.38
9	4	67	86	40886.35
9	4	67	87	39763.78
9	4	67	88	38541.06
9	4	69	89	36613.93
9	4	69	90	37224.04
9	4	69	91	35495.46
9	4	69	92	36589.69
9	4	93	93	38025.74
9	4	72	94	37515.45
9	4	72	95	35691.40
9	4	96	96	37807.78
9	4	73	97	37712.66
9	4	73	98	39222.30
9	4	73	99	40144.62
10	4	4	0	27237.01
10	4	4	1	25660.87
10	27	27	2	18894.55
10	27	27	3	15606.20
10	4	4	4	9392.44
10	27	27	5	11871.35
10	27	27	6	13248.74
10	4	8	7	22963.76
10	4	8	8	21357.07
10	4	4	9	19023.12
10	4	4	11	20034.82
10	27	27	12	14256.97
10	27	27	13	14917.47
10	27	27	14	20386.15
10	15	15	15	14975.59
10	27	16	16	22315.93
10	27	17	17	25562.46
10	27	18	18	27779.27
10	27	19	19	30568.12
10	22	22	20	17278.44
10	22	22	21	15923.81
10	22	22	22	11959.98
10	27	27	23	12610.82
10	27	27	24	10928.52
10	27	27	25	11975.32
10	27	27	26	6506.25
10	27	27	27	4453.38
10	27	27	28	5790.34
10	27	27	29	7945.64
10	27	27	30	8555.03
10	27	31	31	9546.71
10	32	32	32	9753.78
10	27	33	33	10623.04
10	27	34	34	12389.42
10	27	33	35	13775.69
10	27	34	36	16504.79
10	27	37	37	15650.93
10	27	38	38	15993.58
10	27	38	39	26364.96
10	22	22	40	25385.53
10	22	22	41	18032.00
10	22	22	42	18109.18
10	27	27	43	19377.45
10	27	27	44	16483.09
10	27	27	45	13666.50
10	27	27	46	15486.80
10	27	47	47	12776.45
10	27	48	48	11786.56
10	27	48	49	13393.95
10	27	50	50	14084.50
10	27	51	51	14080.41
10	27	51	52	15223.39
10	27	34	53	15421.05
10	27	54	54	15474.24
10	27	54	55	16702.34
10	27	56	56	18368.09
10	27	56	57	22737.61
10	27	56	58	24478.52
10	27	59	59	22883.17
10	22	22	60	26634.68
10	27	27	61	25823.36
